"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
1,"Streptomyces clavuligerus ATCC 27064","ATCC 27064","SAMN02471788 ","PRJNA42475","GCA_000163875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/875/GCA_000163875.1_Strep_clav_ATCC27064"
2,"Streptomyces avermitilis MA-4680 = NBRC 14893","MA-4680","SAMD00061088 ","PRJNA189","GCA_000009765.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/765/GCA_000009765.2_ASM976v2"
3,"Streptomyces coelicolor A3(2)","A3(2)","SAMEA1705940 ","PRJNA242","GCA_000203835.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/835/GCA_000203835.1_ASM20383v1"
4,"Streptomyces scabiei 87.22","87.22","SAMEA2272773 ","PRJEA40749","GCA_000091305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/305/GCA_000091305.1_ASM9130v1"
5,"Streptomyces pristinaespiralis","HCCB 10218","SAMN03565307 ","PRJNA281980","GCA_001278075.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/075/GCA_001278075.1_ASM127807v1"
6,"Streptomyces sviceus ATCC 29083","ATCC 29083","SAMN02595223 ","PRJNA28555","GCA_000154965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/965/GCA_000154965.1_ASM15496v1"
7,"Streptomyces albus subsp. albus","NRRL F-4971","SAMN02645498 ","PRJNA238534","GCA_000719865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/865/GCA_000719865.1_ASM71986v1"
8,"Streptomyces ghanaensis ATCC 14672","ATCC 14672","SAMN02595233 ","PRJNA32145","GCA_000156435.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/435/GCA_000156435.1_ASM15643v1"
9,"Streptomyces roseosporus NRRL 15998","NRRL 15998","SAMN02595234 ","PRJNA32147","GCA_000156455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/455/GCA_000156455.1_ASM15645v1"
10,"Streptomyces lividans TK24","TK24","SAMN02595300 ","PRJNA33603","GCA_000158935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/935/GCA_000158935.1_ASM15893v1"
11,"Streptomyces hygroscopicus subsp. jinggangensis 5008","5008","SAMN02603880 ","PRJNA81087","GCA_000245355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/355/GCA_000245355.1_ASM24535v1"
12,"Streptomyces viridochromogenes DSM 40736","DSM 40736","SAMN02595301 ","PRJNA33607","GCA_000158955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/955/GCA_000158955.1_ASM15895v1"
14,"Streptomyces griseus subsp. griseus","NRRL B-2307","SAMN02645337 ","PRJNA238534","GCA_000717375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/375/GCA_000717375.1_ASM71737v1"
15,"Streptomyces violaceusniger Tu 4113","Tu 4113","SAMN00016986 ","PRJNA43031","GCA_000147815.3 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/815/GCA_000147815.3_ASM14781v3"
16,"Streptomyces bingchenggensis BCW-1","BCW-1","SAMN02603683 ","PRJNA46847","GCA_000092385.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/385/GCA_000092385.1_ASM9238v1"
17,"Streptomyces griseoaurantiacus M045","M045","SAMN02470039 ","PRJNA63573","GCA_000204605.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/605/GCA_000204605.2_ASM20460v1"
19,"Streptomyces zinciresistens K42","K42","SAMN02471576 ","PRJNA71331","GCA_000225525.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/525/GCA_000225525.2_ASM22552v1"
20,"Streptomyces venezuelae ATCC 10712","ATCC 10712","SAMEA3138410 ","PRJNA62209","GCA_000253235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/235/GCA_000253235.1_ASM25323v1"
22,"Streptomyces chartreusis NRRL 12338","NRRL 12338","SAMN02471828 ","PRJNA72673","GCA_000226455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/455/GCA_000226455.1_ASM22645v1"
23,"Streptomyces ambofaciens","DSM 40697","SAMN04160834 ","PRJNA298666","GCA_001632865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/865/GCA_001632865.1_ASM163286v1"
24,"Streptomyces peucetius","NRRL WC-3868","SAMN02645417 ","PRJNA238534","GCA_000725565.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/565/GCA_000725565.1_Doro.v1.0"
25,"Streptomyces turgidiscabies Car8","Car8","SAMN02436476 ","PRJNA42361","GCA_000331005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/005/GCA_000331005.1_Sturgcar8v1.0"
26,"Streptomyces ipomoeae 91-03","91-03","SAMN02436560 ","PRJNA42363","GCA_000317595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/595/GCA_000317595.1_Sipom9103v1.0"
27,"Kitasatospora setae KM-6054","KM-6054","SAMD00060928 ","PRJDA19951","GCA_000269985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/985/GCA_000269985.1_ASM26998v1"
28,"Streptomyces cattleya NRRL 8057 = DSM 46488","DSM 46488","SAMN02603879 ","PRJNA78941","GCA_000240165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/165/GCA_000240165.1_ASM24016v1"
29,"Streptacidiphilus rugosus AM-16","AM-16","SAMN02745414 ","PRJNA234778","GCA_000744655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/655/GCA_000744655.1_ASM74465v1"
