"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
1,"Bacillus cereus m1293","m1293","SAMN00717290 ","PRJNA29657","GCA_000003645.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/645/GCA_000003645.1_ASM364v1"
2,"Bacillus mycoides DSM 2048","DSM 2048","SAMN00727646 ","PRJNA29701","GCA_000003925.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/925/GCA_000003925.1_ASM392v1"
3,"Bacillus cereus AH1273","AH1273","SAMN00727677 ","PRJNA29699","GCA_000003955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/955/GCA_000003955.1_ASM395v1"
4,"Bacillus pseudofirmus OF4","OF4","SAMN02603086 ","PRJNA28811","GCA_000005825.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/825/GCA_000005825.2_ASM582v2"
5,"Bacillus anthracis str. A2012","A2012","SAMN02435829 ","PRJNA299","GCA_000006155.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/155/GCA_000006155.2_ASM615v2"
6,"Bacillus cereus ATCC 14579","ATCC 14579","SAMN02603340 ","PRJNA384","GCA_000007825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/825/GCA_000007825.1_ASM782v1"
7,"Bacillus anthracis str. Ames","Ames","SAMN02603432 ","PRJNA309","GCA_000007845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1"
8,"Bacillus cereus ATCC 10987","ATCC 10987","SAMN02603979 ","PRJNA74","GCA_000008005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/005/GCA_000008005.1_ASM800v1"
9,"Bacillus anthracis str. Sterne","Sterne","SAMN02598266 ","PRJNA10878","GCA_000008165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/165/GCA_000008165.1_ASM816v1"
10,"Bacillus licheniformis DSM 13 = ATCC 14580","DSM 13","SAMN02603292 ","PRJNA13082","GCA_000008425.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/425/GCA_000008425.1_ASM842v1"
